"id","spec_clausula","dimensao","fenomeno_id","posicao","classificacao","tipo","evidencia_primaria","resultado","contraevidencia_procurada","ameaca_validade","impacto_fp_fn","severidade","confianca","resolucao_juiz","classificacao_final","severidade_final","fenomeno_id_final","justificativa_curta"
"ALFA-KGN-01","KGN ORDER Gets,Inits?,gk — safe paths incl. i1-i5 split","linguagem_formal","","PASS","FIDELIDADE_DEMONSTRADA","verificacao_algoritmica+harness","alfa_language_check.py product over parsed tables (KeyGeneratorSpecRuntimeMonitor.java:267-275); alfa_harnessC_rep1.txt KGN-T1/T4","safe words Gets(i1..i5)?gk accepted, match state 1 reached, 0 errors","exhaustive product BFS found no safe-path mismatch","model of guards cross-checked against artifact and harness","none","minor","0.95","PASS","FIDELIDADE_DEMONSTRADA","minor","","CONFIRMADO: evidencia primaria conferida pelo juiz; sem contraevidencia."
"ALFA-KGN-02","KGN ORDER vs unsafe-algorithm carrier (g3 then mandatory i)","linguagem_formal","FEN-C-CARRIER-SEQFAIL","FAIL","INCORRETA","contraexemplo_executado","smallest separating trace G1u I1 (alfa_language_results.txt walk); alfa_harnessC_rep1.txt KGN-T2: getInstance(""DES"");init;generateKey -> 2x InvalidSequenceOfMethodCalls + UnsafeAlgorithm","rule-conformant ORDER (constraint-only misuse) accused of sequence violation twice; spurious @fail beside specific error","searched for a state admitting i after g3 in ere (KeyGeneratorSpec.mop:119) and in effective table: none","monitor driven directly reproducing aspect advice order; weaving not exercised (Beta scope)","FP (sequence category) on every unsafe-algorithm complete use","critica","0.95","FAIL","INCORRETA","critica","FEN-C-CARRIER-SEQFAIL","CONFIRMADO: judge S4 (2 InvalidSeq + UnsafeAlgorithm, pairing at gk1) + W walk; trace ORDER-conformant, misuse constraint-only."
"ALFA-KGN-03","KGN CrySL g2 unsafe (2-arg getInstance suppressed without counterpart)","captura_eventos","FEN-C-GETS-INVISIVEL","FAIL","INCORRETA","contraexemplo_executado","KeyGeneratorSpec.mop:48-54 (g2 condition, no unsafe twin); alfa_harnessC_rep1.txt KGN-T3: 2 InvalidSequence FPs + UnsafeAlgorithm with empty label 'but found .'","Gets event invisible -> monitor created at init in start state -> immediate fail; diagnostic label empty","grep for a g3-like 2-arg event in .mop and .aj: absent","none — artifact-complete","FP + diagnostic misattribution","critica","0.95","FAIL","INCORRETA","critica","FEN-C-GETS-INVISIVEL","CONFIRMADO: g2 condition-suppressed with no unsafe counterpart (spec read); creation-at-consume FP walked (W) and executed in siblings (S8/S14)."
"ALFA-KGN-04","KGN CONSTRAINT alg in {11 literals} vs 17-entry safeAlgorithms","bindings_clausulas","FEN-C-WHITELIST-EXTRA","FAIL","INCORRETA","divergencia_extra_oraculo","KeyGeneratorSpec.mop:22-24 vs KeyGenerator.cryptsl:45; data/gh101/conformance_record.csv:9 registers 6 alias spellings; alfa_foldingC_rep1.txt: HMAC-SHA256 does not resolve on JDK","6 whitelist members absent from the raw api30 set; FN vs raw rule when alias resolves","raw rule re-read: aliases not present; no researcher scope reduction on file (batch B §8.4 precedent)","alias resolution provider-dependent: unrealizable on host JDK, realizable on Android BC (divergence threat declared per D-piloto-2)","FN vs raw constraint on Android providers","critica","0.75","FAIL","INCORRETA","major","FEN-C-WHITELIST-EXTRA","CONFIRMADO no FAIL; severidade ->major (REF-D-02): the 6 alias spellings are outside the raw 11-literal list (INCORRETA at the constraint), but the FN's enabling trace is not realizable on any measured platform — all six throw and g1/g3 are after-returning (IDPROBE); §4's 'demonstravel em trace realizavel' unmet pending the Android-BC probe (named). Registered as carried artefact — registered != approved."
"ALFA-KGN-05","KGN CONSTRAINT alg in {AES} => keySize in {128,192,256}","bindings_clausulas","FEN-KGN-KEYSIZE-OMITIDA","FAIL","OMITIDA","contraexemplo_executado","KeyGeneratorSpec.mop:76-78 (i1 binds keySize, empty body); alfa_harnessC_rep1.txt KGN-T5: getInstance(""AES"");init(64);generateKey -> 0 errors","implication constraint never checked; keySize bound and discarded","grep keySize over data/gh101/*.csv,*.md and openspec gh101: only KeyPairGenerator rows; NOT registered for KeyGenerator","none — measured","FN realizable (AES with 64-bit keySize silently accepted)","critica","0.95","FAIL","OMITIDA","critica","FEN-KGN-KEYSIZE-OMITIDA","CONFIRMADO: constraint transcribed nowhere; FN executed (judge S16); unregistered (0 hits)."
"ALFA-KGN-06","KGN REQUIRES randomized[ranGen] read at i2/i4/i5","predicados_composicao","","PASS","FIDELIDADE_DEMONSTRADA","harness","KeyGeneratorSpec.mop:33-38 + 83/96/103; alfa_harnessC_rep1.txt KGN-T7: unmarked SecureRandom -> UnsatisfiedConstraint","rule binds ranGen at i2/i4/i5, spec reads RANDOMIZED on the same argument, reader fires","null-guard residue: init(int,null) skips the read (raw rule silent on null literal) — noted, not a counterexample","writer side (SecureRandomSpec) verified read-only, not driven here","none demonstrated","minor","0.9","PASS","FIDELIDADE_DEMONSTRADA","minor","","CONFIRMADO: evidencia primaria conferida pelo juiz; sem contraevidencia."
"ALFA-KGN-07","KGN ENSURES generatedKey[key, alg] — second slot","predicados_composicao","FEN-SET-GENERATEDKEY-2A-CASA","FAIL","INCORRETA","inspecao_artefato+medicao","KeyGeneratorSpec.mop:114 stores only the key; ExecutionContext.setProperty(Property,Object) has one slot (ExecutionContext.java:104-111); reader Cipher.cryptsl REQUIRES generatedKey[key,part(0,""/"",transformation)]","writer drops the alg slot; downstream algorithm discrimination impossible (established batch phenomenon, writer side now confirmed)","searched Property/ExecutionContext for any 2-slot API: none exists","reader-side impact measured in earlier batches, not re-driven here","FN downstream (any-algorithm key satisfies Cipher's algorithm-bound REQUIRES)","critica","0.9","FAIL","INCORRETA","major","FEN-SET-GENERATEDKEY-2A-CASA","CONFIRMADO; severity ->major per batch B FEN-SET-GENERATEDKEY-2A-CASA precedent: alg slot has no home in the store API (ExecutionContext.setProperty(Property,Object), judge-read); latent cross-batch FN, no executed witness this round."
"ALFA-KGN-08","KGN g3 condition on currentAlgorithmInstance (not on alg)","captura_eventos","","PASS","DIVERGENCIA_EQUIVALENTE_COMPROVADA","inspecao_artefato+harness","KeyGeneratorSpec.mop:59 vs merged advice KeyGeneratorSpecMonitorAspect.aj:66-72 (g1Event before g3Event) + monitor guard KeyGeneratorSpecRuntimeMonitor.java:353-357; harness KGN-T1 shows no double-fire","g1 body updates the field before g3's guard reads it, so g3 fires iff alg unsafe — equivalent to guarding on the argument, by advice order only","searched for an interleaving where the field is stale: per-object realizability excludes it (getInstance returns fresh instances)","equivalence rests on within-advice call order — fragile under any aspect regeneration; flagged for regression","none while advice order holds","minor","0.9","PASS","DIVERGENCIA_EQUIVALENTE_COMPROVADA","minor","","CONFIRMADO: evidencia primaria conferida pelo juiz; sem contraevidencia."
"ALFA-KGN-09","KGN generated monitor self-containment","toolchain_android","FEN-KGN-NAOCOMPILA","FAIL","INCORRETA","medicao","alfa_kgn_compile_probe.txt: javac error 'cannot find symbol Key' at KeyGeneratorSpecRuntimeMonitor.java:259; KeyGeneratorSpec.mop:28 declares Key without importing java.security.Key","round monitor does not compile standalone; javamop+rv-monitor exited 0 (fail-open); other four compile clean","checked spec import block (.mop:3-10) and generated imports: no java.security.Key anywhere","production agent build may merge specs and inherit KeyStoreSpec's import — NAO_VERIFICADO; standalone artifact defect is measured","blocks standalone reproduction; latent build fragility","major","1.0","FAIL","INCORRETA","critica","FEN-KGN-NAOCOMPILA","CONFIRMADO; severidade ->critica (REF-D-01): fail-open is a pre-registered §4 Critica trigger and this is a real fail-open of the round's chain — javac exit 1 on the frozen artifact while both generators exit 0 (judge probe); -merge masking verified at runtime_verification_generator.py:211,269."
"ALFA-KGN-10","KGN parametric binding and instance isolation","bindings_clausulas","","PASS","FIDELIDADE_DEMONSTRADA","inspecao_artefato+harness","all 9 events bind k (returning or target, KeyGeneratorSpec.mop:40-108); single indexing tree KeyGeneratorSpec_k_Map (RuntimeMonitor.java:596); harness KGN-T6 isolation","spec parameter declared and bound by every event (batch B parameterless shape absent); interleaved safe/unsafe instances independent","grep for AbstractSynchronizedMonitor global shape: KGN uses per-object AbstractAtomicMonitor","GC/weak-ref lifecycle not stress-tested","none","minor","0.9","PASS","FIDELIDADE_DEMONSTRADA","minor","","CONFIRMADO: evidencia primaria conferida pelo juiz; sem contraevidencia."
