kgn_gi1	javax.crypto.KeyGenerator	getInstance	Ljava/lang/String;	Ljavax/crypto/KeyGenerator;	S
kgn_gi2s	javax.crypto.KeyGenerator	getInstance	Ljava/lang/String;,Ljava/lang/String;	Ljavax/crypto/KeyGenerator;	S
kgn_gi2p	javax.crypto.KeyGenerator	getInstance	Ljava/lang/String;,Ljava/security/Provider;	Ljavax/crypto/KeyGenerator;	S
kgn_init_i	javax.crypto.KeyGenerator	init	I	V	V
kgn_init_isr	javax.crypto.KeyGenerator	init	I,Ljava/security/SecureRandom;	V	V
kgn_init_aps	javax.crypto.KeyGenerator	init	Ljava/security/spec/AlgorithmParameterSpec;	V	V
kgn_init_apsr	javax.crypto.KeyGenerator	init	Ljava/security/spec/AlgorithmParameterSpec;,Ljava/security/SecureRandom;	V	V
kgn_init_sr	javax.crypto.KeyGenerator	init	Ljava/security/SecureRandom;	V	V
kgn_genkey	javax.crypto.KeyGenerator	generateKey	-	Ljavax/crypto/SecretKey;	V
n_kpg_gi1	java.security.KeyPairGenerator	getInstance	Ljava/lang/String;	Ljava/security/KeyPairGenerator;	S
n_skf_gi1	javax.crypto.SecretKeyFactory	getInstance	Ljava/lang/String;	Ljavax/crypto/SecretKeyFactory;	S
n_kgn_getalg	javax.crypto.KeyGenerator	getAlgorithm	-	Ljava/lang/String;	V
kmf_gi1	javax.net.ssl.KeyManagerFactory	getInstance	Ljava/lang/String;	Ljavax/net/ssl/KeyManagerFactory;	S
kmf_gi2s	javax.net.ssl.KeyManagerFactory	getInstance	Ljava/lang/String;,Ljava/lang/String;	Ljavax/net/ssl/KeyManagerFactory;	S
kmf_gi2p	javax.net.ssl.KeyManagerFactory	getInstance	Ljava/lang/String;,Ljava/security/Provider;	Ljavax/net/ssl/KeyManagerFactory;	S
kmf_init_ks	javax.net.ssl.KeyManagerFactory	init	Ljava/security/KeyStore;,[C	V	V
kmf_init_mfp	javax.net.ssl.KeyManagerFactory	init	Ljavax/net/ssl/ManagerFactoryParameters;	V	V
kmf_getkm	javax.net.ssl.KeyManagerFactory	getKeyManagers	-	[Ljavax/net/ssl/KeyManager;	V
n_kmf_defalg	javax.net.ssl.KeyManagerFactory	getDefaultAlgorithm	-	Ljava/lang/String;	S
tmf_gi1	javax.net.ssl.TrustManagerFactory	getInstance	Ljava/lang/String;	Ljavax/net/ssl/TrustManagerFactory;	S
tmf_gi2s	javax.net.ssl.TrustManagerFactory	getInstance	Ljava/lang/String;,Ljava/lang/String;	Ljavax/net/ssl/TrustManagerFactory;	S
tmf_gi2p	javax.net.ssl.TrustManagerFactory	getInstance	Ljava/lang/String;,Ljava/security/Provider;	Ljavax/net/ssl/TrustManagerFactory;	S
tmf_init_ks	javax.net.ssl.TrustManagerFactory	init	Ljava/security/KeyStore;	V	V
tmf_init_mfp	javax.net.ssl.TrustManagerFactory	init	Ljavax/net/ssl/ManagerFactoryParameters;	V	V
tmf_gettm	javax.net.ssl.TrustManagerFactory	getTrustManagers	-	[Ljavax/net/ssl/TrustManager;	V
n_tmf_defalg	javax.net.ssl.TrustManagerFactory	getDefaultAlgorithm	-	Ljava/lang/String;	S
ssl_gi1	javax.net.ssl.SSLContext	getInstance	Ljava/lang/String;	Ljavax/net/ssl/SSLContext;	S
ssl_gi2s	javax.net.ssl.SSLContext	getInstance	Ljava/lang/String;,Ljava/lang/String;	Ljavax/net/ssl/SSLContext;	S
ssl_gi2p	javax.net.ssl.SSLContext	getInstance	Ljava/lang/String;,Ljava/security/Provider;	Ljavax/net/ssl/SSLContext;	S
ssl_init	javax.net.ssl.SSLContext	init	[Ljavax/net/ssl/KeyManager;,[Ljavax/net/ssl/TrustManager;,Ljava/security/SecureRandom;	V	V
ssl_cse0	javax.net.ssl.SSLContext	createSSLEngine	-	Ljavax/net/ssl/SSLEngine;	V
ssl_cse2	javax.net.ssl.SSLContext	createSSLEngine	Ljava/lang/String;,I	Ljavax/net/ssl/SSLEngine;	V
n_ssl_getdef	javax.net.ssl.SSLContext	getDefault	-	Ljavax/net/ssl/SSLContext;	S
n_ssl_sockf	javax.net.ssl.SSLContext	getSocketFactory	-	Ljavax/net/ssl/SSLSocketFactory;	V
kst_gi1	java.security.KeyStore	getInstance	Ljava/lang/String;	Ljava/security/KeyStore;	S
kst_gi2s	java.security.KeyStore	getInstance	Ljava/lang/String;,Ljava/lang/String;	Ljava/security/KeyStore;	S
kst_gi2p	java.security.KeyStore	getInstance	Ljava/lang/String;,Ljava/security/Provider;	Ljava/security/KeyStore;	S
kst_load_is	java.security.KeyStore	load	Ljava/io/InputStream;,[C	V	V
kst_load_p	java.security.KeyStore	load	Ljava/security/KeyStore$LoadStoreParameter;	V	V
kst_store_os	java.security.KeyStore	store	Ljava/io/OutputStream;,[C	V	V
kst_store_p	java.security.KeyStore	store	Ljava/security/KeyStore$LoadStoreParameter;	V	V
kst_getentry	java.security.KeyStore	getEntry	Ljava/lang/String;,Ljava/security/KeyStore$ProtectionParameter;	Ljava/security/KeyStore$Entry;	V
kst_setentry	java.security.KeyStore	setEntry	Ljava/lang/String;,Ljava/security/KeyStore$Entry;,Ljava/security/KeyStore$ProtectionParameter;	V	V
kst_getkey	java.security.KeyStore	getKey	Ljava/lang/String;,[C	Ljava/security/Key;	V
n_kst_setcert	java.security.KeyStore	setCertificateEntry	Ljava/lang/String;,Ljava/security/cert/Certificate;	V	V
