id,spec_clausula,dimensao,fenomeno_id,posicao,classificacao,tipo,evidencia_primaria,resultado,contraevidencia_procurada,ameaca_validade,impacto_fp_fn,severidade,confianca
ALFA-KGN-01,"KGN ORDER Gets,Inits?,gk — safe paths incl. i1-i5 split",linguagem_formal,,PASS,FIDELIDADE_DEMONSTRADA,verificacao_algoritmica+harness,"alfa_language_check.py product over parsed tables (KeyGeneratorSpecRuntimeMonitor.java:267-275); alfa_harnessC_rep1.txt KGN-T1/T4","safe words Gets(i1..i5)?gk accepted, match state 1 reached, 0 errors","exhaustive product BFS found no safe-path mismatch","model of guards cross-checked against artifact and harness",none,minor,0.95
ALFA-KGN-02,KGN ORDER vs unsafe-algorithm carrier (g3 then mandatory i),linguagem_formal,FEN-C-CARRIER-SEQFAIL,FAIL,INCORRETA,contraexemplo_executado,"smallest separating trace G1u I1 (alfa_language_results.txt walk); alfa_harnessC_rep1.txt KGN-T2: getInstance(""DES"");init;generateKey -> 2x InvalidSequenceOfMethodCalls + UnsafeAlgorithm","rule-conformant ORDER (constraint-only misuse) accused of sequence violation twice; spurious @fail beside specific error","searched for a state admitting i after g3 in ere (KeyGeneratorSpec.mop:119) and in effective table: none","monitor driven directly reproducing aspect advice order; weaving not exercised (Beta scope)","FP (sequence category) on every unsafe-algorithm complete use",critica,0.95
ALFA-KGN-03,KGN CrySL g2 unsafe (2-arg getInstance suppressed without counterpart),captura_eventos,FEN-C-GETS-INVISIVEL,FAIL,INCORRETA,contraexemplo_executado,"KeyGeneratorSpec.mop:48-54 (g2 condition, no unsafe twin); alfa_harnessC_rep1.txt KGN-T3: 2 InvalidSequence FPs + UnsafeAlgorithm with empty label 'but found .'","Gets event invisible -> monitor created at init in start state -> immediate fail; diagnostic label empty","grep for a g3-like 2-arg event in .mop and .aj: absent","none — artifact-complete",FP + diagnostic misattribution,critica,0.95
ALFA-KGN-04,KGN CONSTRAINT alg in {11 literals} vs 17-entry safeAlgorithms,bindings_clausulas,FEN-C-WHITELIST-EXTRA,FAIL,INCORRETA,divergencia_extra_oraculo,"KeyGeneratorSpec.mop:22-24 vs KeyGenerator.cryptsl:45; data/gh101/conformance_record.csv:9 registers 6 alias spellings; alfa_foldingC_rep1.txt: HMAC-SHA256 does not resolve on JDK","6 whitelist members absent from the raw api30 set; FN vs raw rule when alias resolves","raw rule re-read: aliases not present; no researcher scope reduction on file (batch B §8.4 precedent)","alias resolution provider-dependent: unrealizable on host JDK, realizable on Android BC (divergence threat declared per D-piloto-2)",FN vs raw constraint on Android providers,critica,0.75
ALFA-KGN-05,"KGN CONSTRAINT alg in {AES} => keySize in {128,192,256}",bindings_clausulas,FEN-KGN-KEYSIZE-OMITIDA,FAIL,OMITIDA,contraexemplo_executado,"KeyGeneratorSpec.mop:76-78 (i1 binds keySize, empty body); alfa_harnessC_rep1.txt KGN-T5: getInstance(""AES"");init(64);generateKey -> 0 errors","implication constraint never checked; keySize bound and discarded","grep keySize over data/gh101/*.csv,*.md and openspec gh101: only KeyPairGenerator rows; NOT registered for KeyGenerator","none — measured",FN realizable (AES with 64-bit keySize silently accepted),critica,0.95
ALFA-KGN-06,KGN REQUIRES randomized[ranGen] read at i2/i4/i5,predicados_composicao,,PASS,FIDELIDADE_DEMONSTRADA,harness,"KeyGeneratorSpec.mop:33-38 + 83/96/103; alfa_harnessC_rep1.txt KGN-T7: unmarked SecureRandom -> UnsatisfiedConstraint","rule binds ranGen at i2/i4/i5, spec reads RANDOMIZED on the same argument, reader fires","null-guard residue: init(int,null) skips the read (raw rule silent on null literal) — noted, not a counterexample","writer side (SecureRandomSpec) verified read-only, not driven here",none demonstrated,minor,0.9
ALFA-KGN-07,"KGN ENSURES generatedKey[key, alg] — second slot",predicados_composicao,FEN-SET-GENERATEDKEY-2A-CASA,FAIL,INCORRETA,inspecao_artefato+medicao,"KeyGeneratorSpec.mop:114 stores only the key; ExecutionContext.setProperty(Property,Object) has one slot (ExecutionContext.java:104-111); reader Cipher.cryptsl REQUIRES generatedKey[key,part(0,""/"",transformation)]","writer drops the alg slot; downstream algorithm discrimination impossible (established batch phenomenon, writer side now confirmed)","searched Property/ExecutionContext for any 2-slot API: none exists","reader-side impact measured in earlier batches, not re-driven here",FN downstream (any-algorithm key satisfies Cipher's algorithm-bound REQUIRES),critica,0.9
ALFA-KGN-08,KGN g3 condition on currentAlgorithmInstance (not on alg),captura_eventos,,PASS,DIVERGENCIA_EQUIVALENTE_COMPROVADA,inspecao_artefato+harness,"KeyGeneratorSpec.mop:59 vs merged advice KeyGeneratorSpecMonitorAspect.aj:66-72 (g1Event before g3Event) + monitor guard KeyGeneratorSpecRuntimeMonitor.java:353-357; harness KGN-T1 shows no double-fire","g1 body updates the field before g3's guard reads it, so g3 fires iff alg unsafe — equivalent to guarding on the argument, by advice order only","searched for an interleaving where the field is stale: per-object realizability excludes it (getInstance returns fresh instances)","equivalence rests on within-advice call order — fragile under any aspect regeneration; flagged for regression",none while advice order holds,minor,0.9
ALFA-KGN-09,KGN generated monitor self-containment,toolchain_android,FEN-KGN-NAOCOMPILA,FAIL,INCORRETA,medicao,"alfa_kgn_compile_probe.txt: javac error 'cannot find symbol Key' at KeyGeneratorSpecRuntimeMonitor.java:259; KeyGeneratorSpec.mop:28 declares Key without importing java.security.Key","round monitor does not compile standalone; javamop+rv-monitor exited 0 (fail-open); other four compile clean","checked spec import block (.mop:3-10) and generated imports: no java.security.Key anywhere","production agent build may merge specs and inherit KeyStoreSpec's import — NAO_VERIFICADO; standalone artifact defect is measured",blocks standalone reproduction; latent build fragility,major,1.0
ALFA-KGN-10,KGN parametric binding and instance isolation,bindings_clausulas,,PASS,FIDELIDADE_DEMONSTRADA,inspecao_artefato+harness,"all 9 events bind k (returning or target, KeyGeneratorSpec.mop:40-108); single indexing tree KeyGeneratorSpec_k_Map (RuntimeMonitor.java:596); harness KGN-T6 isolation","spec parameter declared and bound by every event (batch B parameterless shape absent); interleaved safe/unsafe instances independent","grep for AbstractSynchronizedMonitor global shape: KGN uses per-object AbstractAtomicMonitor","GC/weak-ref lifecycle not stress-tested",none,minor,0.9
ALFA-KGN-11,KGN formal-only ORDER divergences (g1+ repetition; g3* before g2+),linguagem_formal,,PASS,DIVERGENCIA_EQUIVALENTE_COMPROVADA,verificacao_algoritmica,"alfa_language_results.txt formal event-level: g1 g1 gk1 and g3 g2 gk1 accepted by effective automaton, outside L(CrySL)","effective language strictly larger at event level; every extra word needs two getInstance returns aliased to one object — unrealizable by identity","searched for a JCA path returning the same KeyGenerator twice: none (factory always constructs)","object realizability argument is API-semantic, not proven over all providers",none on realizable traces,minor,0.85
ALFA-KGN-12,KGN diagnostics (@fail message and labels),diagnostico,FEN-C-CARRIER-SEQFAIL,FAIL,INCORRETA,medicao,"alfa_harnessC_rep1.txt KGN-T2/T3: expecting=unknown on InvalidSequence rows; 'expecting one ofAES...' missing space (KeyGeneratorSpec.mop:111); empty 'but found .' on the suppressed-g2 path","sequence accusations carry no expected-set; specific error accompanied by spurious @fail (G9 gate breach); ErrorSummary drops expecting (batch B carry-over)","looked for state/event context in ErrorDescription: only type+spec+loc survive","",diagnostic misattribution,major,0.9
ALFA-KGN-13,KGN folding x JCA (D-piloto-2 a),bindings_clausulas,,PASS,FIDELIDADE_DEMONSTRADA,harness,"alfa_foldingC_rep1.txt KeyGenerator section: 'aes'/'Aes'/'hmacsha256' resolve on JDK, guard and raw literal set both reject","case variants: spec verdict (unsafe) agrees with raw constraint (literal mismatch) — categories consistent","searched for a case variant where spec and raw disagree: only the 6 aliases (ALFA-KGN-04)","JDK-vs-Android provider divergence declared; carrier FP (ALFA-KGN-02) still fires on these variants",none beyond registered claims,minor,0.85
ALFA-KGN-14,KGN part() over absent component (D-piloto-2 b),bindings_clausulas,,PASS,FIDELIDADE_DEMONSTRADA,leitura_normativa,KeyGenerator.cryptsl:43-48 constraints use plain membership and one implication; no part(),N/A — declared explicitly per round rules,rule re-read for hidden part() usage: none,,none,minor,0.95
ALFA-KMF-01,"KMF ORDER Gets,Init,gkm? — safe paths incl. i1/i2 split",linguagem_formal,,PASS,FIDELIDADE_DEMONSTRADA,verificacao_algoritmica+harness,"product over KeyManagerFactorySpecRuntimeMonitor.java:192-197 tables; alfa_harnessC_rep1.txt CHAIN-T1/KMF-T2: 0 errors on g1 i1 gkm1","safe words accepted without accusation; i1/i2 take exactly the fused event's transition","product BFS: no safe-path fail","",none,minor,0.95
ALFA-KMF-02,KMF unsafe-algorithm carrier then mandatory init,linguagem_formal,FEN-C-CARRIER-SEQFAIL,FAIL,INCORRETA,contraexemplo_executado,"separating trace G1u I1 (alfa_language_results.txt); alfa_harnessC_rep1.txt KMF-T1: getInstance(""SunX509"");init;getKeyManagers -> UnsafeAlgorithm + 2x InvalidSequence","unsafeAlg state (KeyManagerFactorySpec.mop:107-111) has no i-transition, so constraint-only misuse becomes double sequence FP","checked fsm for i1/i2 out of unsafeAlg: absent by design comment","SunX509 resolves on JDK (folding harness); Android realizability via any non-PKIX resolvable name",FP x2 + spurious @fail beside UnsafeAlgorithm,critica,0.95
ALFA-KMF-03,KMF 2-arg unsafe getInstance suppressed,captura_eventos,FEN-C-GETS-INVISIVEL,FAIL,INCORRETA,verificacao_algoritmica,"KeyManagerFactorySpec.mop:42-48 (g2 condition, no unsafe twin); witness G2u I1 in alfa_language_results.txt; mechanism identical to measured KGN-T3/CHAIN-T2","Gets invisible -> monitor created at init -> immediate fail on rule-conformant ORDER","grep for 2-arg unsafe counterpart event: absent","not separately driven (same monitor mechanics as measured KGN/KST cases)",FP,critica,0.9
