class,method,parameters,signature
java.security.KeyStore,getEntry,"(String,java.security.KeyStore.ProtectionParameter)","public Entry KeyStore.getEntry(String, ProtectionParameter)"
java.security.KeyStore,getInstance,"(String)","public static KeyStore KeyStore.getInstance(String)"
java.security.KeyStore,getKey,"(String,char[])","public Key KeyStore.getKey(String, char[])"
java.security.KeyStore,load,"(..)","public void KeyStore.load(..)"
java.security.KeyStore,setEntry,"(String,java.security.KeyStore.Entry,java.security.KeyStore.ProtectionParameter)","public void KeyStore.setEntry(String, Entry, ProtectionParameter)"
java.security.KeyStore,store,"(..)","public void KeyStore.store(..)"
javax.crypto.KeyGenerator,generateKey,"()","public SecretKey KeyGenerator.generateKey()"
javax.crypto.KeyGenerator,getInstance,"(String,Object+)","public static KeyGenerator KeyGenerator.getInstance(String, Object+)"
javax.crypto.KeyGenerator,getInstance,"(String)","public static KeyGenerator KeyGenerator.getInstance(String)"
javax.crypto.KeyGenerator,init,"(java.security.spec.AlgorithmParameterSpec,java.security.SecureRandom)","public void KeyGenerator.init(AlgorithmParameterSpec, SecureRandom)"
javax.crypto.KeyGenerator,init,"(int)","public void KeyGenerator.init(int)"
javax.crypto.KeyGenerator,init,"(java.security.SecureRandom)","public void KeyGenerator.init(SecureRandom)"
javax.crypto.KeyGenerator,init,"(java.security.spec.AlgorithmParameterSpec)","public void KeyGenerator.init(AlgorithmParameterSpec)"
javax.crypto.KeyGenerator,init,"(int,java.security.SecureRandom)","public void KeyGenerator.init(int, SecureRandom)"
javax.net.ssl.KeyManagerFactory,getInstance,"(String,..)","public static KeyManagerFactory KeyManagerFactory.getInstance(String, ..)"
javax.net.ssl.KeyManagerFactory,getInstance,"(String)","public static KeyManagerFactory KeyManagerFactory.getInstance(String)"
javax.net.ssl.KeyManagerFactory,getKeyManagers,"()","public KeyManager[] KeyManagerFactory.getKeyManagers()"
javax.net.ssl.KeyManagerFactory,init,"(java.security.KeyStore,char[])","public void KeyManagerFactory.init(KeyStore, char[])"
javax.net.ssl.KeyManagerFactory,init,"(javax.net.ssl.ManagerFactoryParameters)","public void KeyManagerFactory.init(ManagerFactoryParameters)"
javax.net.ssl.SSLContext,createSSLEngine,"(..)","public void SSLContext.createSSLEngine(..)"
javax.net.ssl.SSLContext,getInstance,"(String,String)","public static SSLContext SSLContext.getInstance(String, String)"
javax.net.ssl.SSLContext,getInstance,"(String)","public static SSLContext SSLContext.getInstance(String)"
javax.net.ssl.SSLContext,init,"(KeyManager[],TrustManager[],java.security.SecureRandom)","public void SSLContext.init(KeyManager[], TrustManager[], SecureRandom)"
javax.net.ssl.TrustManagerFactory,getInstance,"(String,..)","public static TrustManagerFactory TrustManagerFactory.getInstance(String, ..)"
javax.net.ssl.TrustManagerFactory,getInstance,"(String)","public static TrustManagerFactory TrustManagerFactory.getInstance(String)"
javax.net.ssl.TrustManagerFactory,getTrustManagers,"()","public TrustManager[] TrustManagerFactory.getTrustManagers()"
javax.net.ssl.TrustManagerFactory,init,"(javax.net.ssl.ManagerFactoryParameters)","public void TrustManagerFactory.init(ManagerFactoryParameters)"
javax.net.ssl.TrustManagerFactory,init,"(java.security.KeyStore)","public void TrustManagerFactory.init(KeyStore)"
