apk,rep,timeout,tool,cov_act,cov_method,cov_rv_method,errors
biz.gyrus.yaab_30.apk,1,300,ape,80.0,31.83,42.39,0
biz.gyrus.yaab_30.apk,2,300,ape,80.0,29.57,39.34,0
biz.gyrus.yaab_30.apk,3,300,ape,80.0,31.45,41.88,0
biz.gyrus.yaab_30.apk,1,300,fastbot,60.0,26.93,35.79,0
biz.gyrus.yaab_30.apk,2,300,fastbot,60.0,27.5,36.04,0
biz.gyrus.yaab_30.apk,3,300,fastbot,60.0,26.93,35.79,0
biz.gyrus.yaab_30.apk,1,300,rvagent:pure_algorithm,60.0,13.18,17.77,0
biz.gyrus.yaab_30.apk,2,300,rvagent:pure_algorithm,80.0,13.75,18.53,0
biz.gyrus.yaab_30.apk,3,300,rvagent:pure_algorithm,60.0,14.12,19.04,0
byrne.utilities.hashpass_2.apk,1,300,ape,100.0,23.81,27.78,2
byrne.utilities.hashpass_2.apk,2,300,ape,100.0,38.1,44.44,3
byrne.utilities.hashpass_2.apk,3,300,ape,100.0,38.1,44.44,2
byrne.utilities.hashpass_2.apk,1,300,fastbot,100.0,14.29,16.67,0
byrne.utilities.hashpass_2.apk,2,300,fastbot,100.0,14.29,16.67,0
byrne.utilities.hashpass_2.apk,3,300,fastbot,100.0,14.29,16.67,0
byrne.utilities.hashpass_2.apk,1,300,rvagent:pure_algorithm,100.0,14.29,16.67,0
byrne.utilities.hashpass_2.apk,2,300,rvagent:pure_algorithm,100.0,14.29,16.67,0
byrne.utilities.hashpass_2.apk,3,300,rvagent:pure_algorithm,100.0,14.29,16.67,0
ca.farrelltonsolar.classic_314.apk,1,300,ape,100.0,39.47,0.0,0
ca.farrelltonsolar.classic_314.apk,2,300,ape,100.0,27.47,0.0,0
ca.farrelltonsolar.classic_314.apk,3,300,ape,100.0,32.0,0.0,0
ca.farrelltonsolar.classic_314.apk,1,300,fastbot,100.0,27.47,0.0,0
ca.farrelltonsolar.classic_314.apk,2,300,fastbot,100.0,27.47,0.0,0
ca.farrelltonsolar.classic_314.apk,3,300,fastbot,100.0,25.87,0.0,0
ca.farrelltonsolar.classic_314.apk,1,300,rvagent:pure_algorithm,66.67,15.2,0.0,0
ca.farrelltonsolar.classic_314.apk,2,300,rvagent:pure_algorithm,66.67,15.2,0.0,0
ca.farrelltonsolar.classic_314.apk,3,300,rvagent:pure_algorithm,66.67,15.2,0.0,0
com.aidinhut.simpletextcrypt_14.apk,1,300,ape,33.33,7.37,33.33,0
com.aidinhut.simpletextcrypt_14.apk,2,300,ape,33.33,7.37,33.33,0
com.aidinhut.simpletextcrypt_14.apk,3,300,ape,33.33,7.37,33.33,0
com.aidinhut.simpletextcrypt_14.apk,1,300,fastbot,33.33,6.32,22.22,0
com.aidinhut.simpletextcrypt_14.apk,2,300,fastbot,33.33,6.32,22.22,0
com.aidinhut.simpletextcrypt_14.apk,3,300,fastbot,33.33,6.32,22.22,0
com.aidinhut.simpletextcrypt_14.apk,1,300,rvagent:pure_algorithm,33.33,6.32,22.22,0
com.aidinhut.simpletextcrypt_14.apk,2,300,rvagent:pure_algorithm,33.33,6.32,22.22,0
com.aidinhut.simpletextcrypt_14.apk,3,300,rvagent:pure_algorithm,33.33,6.32,22.22,0
com.allansimon.verbisteandroid_2.apk,1,300,ape,100.0,32.0,40.54,2
com.allansimon.verbisteandroid_2.apk,2,300,ape,100.0,32.0,40.54,2
com.allansimon.verbisteandroid_2.apk,3,300,ape,100.0,32.0,40.54,2
