id,spec_clausula,dimensao,fenomeno_id,posicao,classificacao,tipo,evidencia_primaria,resultado,contraevidencia_procurada,ameaca_validade,impacto_fp_fn,severidade,confianca
BETA-CIS-01,CipherInputStreamSpec/geracao-orcamento,toolchain_android,,PASS,FIDELIDADE_DEMONSTRADA (medicao da cadeia),MEDIDO,"/usr/bin/time -v em scratch: javamop 0,40s/85,7MB + rv-monitor 0,91s/86,1MB exit 0; CoenableProbe ere: coenable[fail]=60=4x(2^4-1) saturado; 4 eventos <=17; artefatos byte-identicos ao insumo (4/4)","geracao limpa e deterministica","stderr/stdout inspecionados; regeneracao independente hash-compare","carga da maquina afeta wall-clock, nao contagens","nenhum",-,0.98
BETA-CIS-02,CipherInputStreamSpec/ORDER c1 (r1|r2)+ cl1,linguagem_formal,,PASS,FIDELIDADE_DEMONSTRADA (artefato fiel ao .mop no alfabeto),PROVADO,"tabelas RuntimeMonitor:125-128; walks executaveis: ciclo conforme sem erro (CIS-f pos-acusacao), close-sem-read acusado (CIS-d); beta_betadriveB_run1.out 3 reps identicas","linguagem por PROCESSO = ere do .mop; a comparacao com CrySL por objeto esta em BETA-CIS-03","tabelas extraidas e exercitadas em execucao real","escopo global tratado no claim irmao — leitura isolada subestima","nenhum na tabela",-,0.97
BETA-CIS-03,CipherInputStreamSpec/ciclo de vida por objeto,bindings_clausulas,FEN-STREAMS-monitor-global,FAIL,INCORRETA (monitor global; FP em trace legal),PROVADO,"spec sem parametro (.mop:11); monitor estatico unico (RuntimeMonitor:275; merge :9446); drive: 2o stream legal -> 3 InvalidSequenceOfMethodCalls espurios (CIS-b/b2/b3) e cascata em cada stream seguinte (CIS-b4); 3 reps identicas","ciclo CrySL e por stream; artefato e por processo; FP realizavel em qualquer app com >1 CipherInputStream","procurada indexacao por objeto no artefato e no merge: inexistente","dexlib2 nem captura read(byte[]) (claim 04) — em device o padrao de FP muda de forma, nao de causa","FP direto realizavel + resets corrompem o rastreio do stream corrente",critica,0.97
BETA-CIS-04,CipherInputStreamSpec/evento r1 overload read(byte[]),captura_eventos,FEN-SET-firstcall-disjunct,FAIL,INCORRETA (FN silencioso no caminho dexlib2 de producao),MEDIDO,"weave de producao (BetaWeaveProbeB sobre instr-cli.jar 356e8b70 + android-30 96ccfdc8): cis_readB UNTOUCHED, plansSkippedAliasing=1; wrapper so para read() e read([BII) (beta_weave_all.out); mecanismo: WrapperEmitter.findFirstCall so toma o 1o call() da disjuncao (WrapperEmitter.java:507-524) e INV-INS-66 descarta o plano inline (DexWeaver.java:481-515)","read(buf) — a forma dominante de leitura — nunca emite r1 em producao Android;so um contador incrementa","procurado wrapper para read([B) na saida do WrapperEmitter (per-spec e merge de 23): inexistente","metade ajc casaria o 2o disjunto (semantica AspectJ) — divergencia entre metades; ART pendente","FN silencioso critico; interage com o monitor global",critica,0.96
BETA-CIS-05,CipherInputStreamSpec/pointcuts restantes,captura_eventos,,PASS,FIDELIDADE_DEMONSTRADA,MEDIDO,"weave de producao: ctor2 INLINE c1Event; read()/read([BII)/close WRAPPED; vizinhos skip/available/markSupported e getters livres (0 hits); merge de 23 specs identico (beta_weave_multi.out)","Esperado(2-arg ctor, read/0, read/3, close) subset Capturado; vizinhos livres","mesa com 12 cenarios de vizinho/owner por spec","call-site sintetico; weave+device nao exercitados (G6/G10)","nenhum",-,0.95
BETA-CIS-06,CipherInputStreamSpec/CrySL c1: ctor 1-arg,captura_eventos,,FAIL,OMITIDA (construtor da regra nao modelado; protegido na API 30),MEDIDO,"regra api30 tem c1: CipherInputStream(is) e c2 (Constructs := c1|c2); .mop so modela o 2-arg; javap de bytes extraidos: ctor 1-arg e PROTECTED — alcancavel so via super() de subclasse do app; weave probe: site subclasse-super UNTOUCHED (cis_ctor1)","streams criados por subclasse entram no monitor sem c1 -> primeiro read seria acusado (no monitor global)","procurado pointcut p/ ctor 1-arg no .mop/.rvm/aspecto: inexistente","uso real do ctor protegido e raro; sem registro gh101 da omissao","FP/FN de borda em apps que estendem CipherInputStream",minor,0.9
BETA-CIS-07,CipherInputStreamSpec/CONSTRAINT len > off,bindings_clausulas,,FAIL,OMITIDA (constraint da regra sem verificacao),PROVADO,"r2 liga (arr,offset,len) sem condition (.mop:30-32; artefato :192-200); drive CIS-e: read(b,5,3) retorna normal no JDK e transita sem erro","violacao do unico CONSTRAINT da regra e invisivel ponta a ponta","procurada condition/verificacao no .mop/.rvm/artefato: inexistente","semantica do constraint (len>off) e atipica no oraculo cru — vies registrado, nao corrigido","FN realizavel",major,0.92
BETA-CIS-08,CipherInputStreamSpec/REQUIRES generatedCipher,predicados_composicao,,PASS,FIDELIDADE_DEMONSTRADA (leitor realizado no corpo; aridade consistente),PROVADO,"corpo de c1 valida GENERATED_CIPHER (.mop:22; artefato :171); drive CIS-f: cipher sem marca -> UnsatisfiedConstraint; com marca -> silencio; escritor CipherSpec.mop:161 grava 1 slot — aridade compativel","as duas direcoes executadas; leitura no corpo (nao condition) preserva a transicao como o comentario do .mop pretende","procurado descompasso de aridade escritor/leitor: inexistente","predicate_edges.csv:2 marca a aresta como missing — registro desatualizado (BETA-SET-10)","nenhum",-,0.96
BETA-CIS-09,CipherInputStreamSpec/ENSURES cipheredInputStream,predicados_composicao,,PASS,LIMITACAO_INEVITAVEL_DOCUMENTADA (omissao deliberada registrada; write-no-read),OBSERVADO_EM_ARTEFATO,"sem @match e sem setProperty no .mop; constante CIPHERED_* inexistente em Property.java; registro em predicate_omissions.csv:19 (nenhuma regra REQUIRES o predicado; D-S14)","omissao coerente com o registro; nenhum leitor existe no conjunto","grep de cipheredInputStream/CIPHERED em Property.java e nos 23 .mop: zero ocorrencias","bloqueia alegacao de aderencia total (modelo semantico par.7)","nenhum",minor,0.93
BETA-COS-01,CipherOutputStreamSpec/geracao-orcamento,toolchain_android,,PASS,FIDELIDADE_DEMONSTRADA (medicao da cadeia),MEDIDO,"0,42s/86,7MB + 0,94s/86,1MB exit 0; coenable[fail]=155=5x(2^5-1) saturado; 5 eventos <=17; artefatos byte-identicos (4/4)","geracao limpa e deterministica","stderr inspecionado; regeneracao independente","nenhuma relevante","nenhum",-,0.98
BETA-COS-02,CipherOutputStreamSpec/ORDER c1 (w1|w2|fl)+ cl,linguagem_formal,,PASS,FIDELIDADE_DEMONSTRADA (artefato fiel ao .mop),PROVADO,"tabelas :145-149; walks executaveis COS-a (conforme) e COS-d (close-sem-write acusado); 3 reps identicas","linguagem por processo = ere do .mop; divergencia do flush vs regra em BETA-COS-03","tabelas exercitadas","escopo global no claim irmao","nenhum na tabela",-,0.97
BETA-COS-03,CipherOutputStreamSpec/flush no laco (Writes+ da regra),linguagem_formal,FEN-COS-flush-alfabeto,FAIL,INCORRETA (evento extra-alfabeto altera a linguagem; FN realizavel),PROVADO,"regra: Constructs, Writes+, c (flush NAO e evento); ere poe fl no laco (.mop:36); drive COS-c: c1 fl cl aceito com 0 erros","ciclo sem NENHUM write e aceito — a regra o rejeita","procurado fl fora do laco/na regra: flush inexiste na regra api30","flush-sem-write e trace raro porem legal em Java","FN realizavel (ciclo sem write nao acusado)",major,0.93
BETA-COS-04,CipherOutputStreamSpec/ciclo de vida por objeto,bindings_clausulas,FEN-STREAMS-monitor-global,FAIL,INCORRETA (monitor global; FP em trace legal),PROVADO,"spec sem parametro (.mop:11); monitor estatico unico (:309; merge :9448); drive: 2o stream legal -> 3 erros espurios (COS-b/b2/b3) e cascata (COS-b4)","mesmo fenomeno do CIS no lado write","procurada indexacao por objeto: inexistente","idem CIS","FP direto realizavel",critica,0.97
BETA-COS-05,CipherOutputStreamSpec/evento w1 overload write(byte[]),captura_eventos,FEN-SET-firstcall-disjunct,FAIL,INCORRETA (FN silencioso no caminho dexlib2 de producao),MEDIDO,"weave de producao: cos_writeB UNTOUCHED, plansSkippedAliasing=1; wrappers so p/ write(int), write([BII), flush, close (beta_weave_all.out); mesmo mecanismo firstCallTarget","write(buf) nunca emite w1 em producao Android","procurado wrapper p/ write([B): inexistente (per-spec e merge)","metade ajc casaria; ART pendente","FN silencioso critico",critica,0.96
BETA-COS-06,CipherOutputStreamSpec/pointcuts restantes,captura_eventos,,PASS,FIDELIDADE_DEMONSTRADA,MEDIDO,"ctor2 INLINE c1Event; write(int)/write([BII)/flush/close WRAPPED; upcast OutputStream.write livre; merge identico","Esperado subset Capturado; vizinhos livres","mesa de owners/vizinhos","weave+device nao exercitados","nenhum",-,0.95
BETA-COS-07,CipherOutputStreamSpec/CONSTRAINT len > off,bindings_clausulas,,FAIL,OMITIDA,PROVADO,"w2 liga (b,off,len) sem verificacao (.mop:29-30); drive COS-e silencioso","violacao do CONSTRAINT invisivel","procurada verificacao: inexistente","constraint atipico do oraculo cru","FN realizavel",major,0.92
BETA-COS-08,CipherOutputStreamSpec/ENSURES cipheredOutputStream,predicados_composicao,,PASS,LIMITACAO_INEVITAVEL_DOCUMENTADA (omissao registrada; D-S14),OBSERVADO_EM_ARTEFATO,"sem @match/setProperty; sem constante; predicate_omissions.csv:20","coerente com o registro","grep Property.java e 23 .mop: zero","bloqueia alegacao de aderencia total","nenhum",minor,0.93
BETA-COS-09,CipherOutputStreamSpec/REQUIRES generatedCipher,predicados_composicao,,PASS,FIDELIDADE_DEMONSTRADA,PROVADO,"corpo de c1 valida GENERATED_CIPHER (drive COS-a com cipher marcado: 0 erros); aridade consistente com CipherSpec","leitor realizado","descompasso de aridade: inexistente","predicate_edges.csv:4 desatualizado (BETA-SET-10)","nenhum",-,0.95
BETA-COS-10,CipherOutputStreamSpec/CrySL c1: ctor 1-arg,captura_eventos,,FAIL,OMITIDA (ctor da regra nao modelado; protegido na API 30),MEDIDO,"regra tem c1: CipherOutputStream(os); ctor 1-arg PROTECTED (javap extraido); nao modelado","idem CIS-06","procurado pointcut: inexistente","uso raro","FP/FN de borda",minor,0.9
BETA-KPR-01,KeyPairSpec/geracao-orcamento,toolchain_android,,PASS,FIDELIDADE_DEMONSTRADA (medicao da cadeia),MEDIDO,"0,42s/85,1MB + 0,94s/85,7MB exit 0; coenable fail=21=3x(2^3-1) saturado + match=9; 3 eventos; byte-identico (4/4)","geracao limpa","stderr; regeneracao","nenhuma","nenhum",-,0.98
BETA-KPR-02,KeyPairSpec/ORDER co? tornado obrigatorio,linguagem_formal,FEN-KPR-co-obrigatorio,FAIL,INCORRETA (FP realizavel na rota JCA canonica),PROVADO,"regra: co?, (pu*, pr*)* — ctor OPCIONAL; ere: c1 (gpu|gpr)* exige c1; drive KPR-a: kp=KeyPairGenerator.generateKeyPair(); kp.getPublic() -> InvalidSequenceOfMethodCalls espurio; 3 reps","a rota padrao de TODO app de chave assimetrica e acusada","procurada rota alternativa de criacao de monitor que evite o fail: inexistente (gpu de 0->2 na tabela :143)","leitura A do ORDER (D-piloto-1) aplicada; a linguagem CrySL aceita pu-primeiro","FP critico massivamente realizavel",critica,0.97
BETA-KPR-03,KeyPairSpec/c1 sem binding do parametro (ciclo de vida),bindings_clausulas,FEN-KPR-c1-sem-binding,FAIL,INCORRETA (despacho ao conjunto inteiro; interferencia entre objetos),PROVADO,"c1 liga publicKey/privateKey/kp e NAO o parametro keyPair (.mop:29-31); wrapper despacha ao SET inteiro (:352; Set.event_c1 :31-53); drive KPR-c2: monitor de kp1 arrastado de 1->0 pelo c1 de kp2; KPR-d: gpu de kp2 falha em seguida; corpo re-executa por monitor (KPR-e)","2a construcao legal derruba TODOS os monitores vivos — ciclo CrySL e por this","procurado binding de kp no c1 (returning liga kp mas kp!=keyPair): o nome nao casa com o parametro","semantica JavaMOP de evento sub-binding e essa; a INCORRETA e da traducao (nome kp vs keyPair)","FP realizavel + estado de outros objetos corrompido",critica,0.96
BETA-KPR-04,KeyPairSpec/variavel keyPair sombreada (@match marca null),toolchain_android,FEN-KPR-var-sombreada,FAIL,INCORRETA (defeito de mecanismo do gerador; aceito em silencio),PROVADO,"parametro e variavel homonimos (.mop:19,21); gerador materializa o parametro nao-ligado como local que SOMBREIA o campo (:179 vs :138); keyPair=kp escreve no local (:190); drive KPR-b2: isInAcceptingState(kp1)=false e isInAcceptingState(null)=true","o @match do .mop nunca marca o KeyPair real","procurado leitor de acceptingState nos 23 .mop (grep isInAcceptingState): inexistente — efeito morto no conjunto","dano real exigiria leitor; o mecanismo (sombreamento silencioso) pode morder spec futura","nenhum FP/FN no conjunto atual; mecanismo latente",major,0.94
BETA-KPR-05,KeyPairSpec/pointcuts c1/gpu/gpr,captura_eventos,,PASS,FIDELIDADE_DEMONSTRADA,MEDIDO,"weave de producao: ctor INLINE c1Event; getPublic/getPrivate WRAPPED; exato (beta_weave_all.out); merge identico","Esperado subset Capturado; KeyPair so tem 3 membros","mesa de vizinhos","weave+device pendentes","nenhum",-,0.96
BETA-KPR-06,KeyPairSpec/REQUIRES+ENSURES (gpu/gpr/ctor),predicados_composicao,,PASS,FIDELIDADE_DEMONSTRADA (leitores e escritores executados; write-no-read registrado),PROVADO,"c1 valida GENERATED_PUBLIC/PRIVATE_KEY (KPR-e acusa quando ausentes; KPR-b silencia quando presentes); gpu/gpr gravam as constantes CORRETAS (artefato :203/:218; KPR-a2 executado); GENERATED_KEY_PAIR write-no-read registrado (predicate_omissions.csv:3)","aresta gpr corrigida em relacao ao registro wrong-constant (edges:39 desatualizado)","grep de leitores de GENERATED_KEY_PAIR nos 23 .mop: nenhum validate — coerente com o registro","registros gh101 desatualizados (BETA-SET-10)","nenhum",minor,0.94
BETA-KPR-07,KeyPairSpec/tabelas vs .mop,linguagem_formal,,PASS,FIDELIDADE_DEMONSTRADA (tabelas fieis ao ere),PROVADO,"tabelas :142-144 = c1 (gpu|gpr)*; walks KPR-b/b3/b4 executados","transicoes fieis; as divergencias estao no escopo (KPR-02/03)","tabelas exercitadas","cross-ref obrigatorio com KPR-02/03","nenhum na tabela",-,0.95
BETA-SKY-01,SecretKeySpec(SecretKey)/geracao-orcamento,toolchain_android,,PASS,FIDELIDADE_DEMONSTRADA (medicao da cadeia),MEDIDO,"0,42s/86,7MB + 0,93s/85,1MB exit 0; 2 eventos; sem categoria fail; coenable match=3; epsilon aceito pelo plugin ERE de producao (CoenableProbe)","geracao limpa","stderr; regeneracao","nenhuma","nenhum",-,0.98
BETA-SKY-02,SecretKeySpec(SecretKey)/captura dos 2 eventos,captura_eventos,FEN-SKY-zero-captura,FAIL,INCORRETA (spec inteira inerte no caminho dexlib2 de producao),MEDIDO,"android-30 SecretKey NAO declara metodos (javap de bytes extraidos: so serialVersionUID; getEncoded herdado de Key, destroy default de Destroyable); AndroidClassIndex.methods() e declared-only; literalFallback descarta alvos de instancia (WrapperEmitter.java:481-497); weave de producao: 0 wrappers, matchesApplied=0, plansSkippedAliasing=2, 7 variantes de owner TODAS UNTOUCHED (beta_weave_all.out); idem no merge","zero-fire estrutural da spec inteira: nenhum getEncoded/destroy jamais emite evento em producao Android","procurado wrapper/inline p/ qualquer owner (SecretKey, SecretKeySpec, Key, Destroyable, subtipo do app): inexistente","metade ajc casaria owner SecretKey (semantica AspectJ) — divergencia entre metades; ART pendente","FN total da spec + cadeia RANDOMIZED jamais alimentada por getEncoded em device",critica,0.97
BETA-SKY-03,SecretKeySpec(SecretKey)/ORDER ge* d? via epsilon,linguagem_formal,,PASS,FIDELIDADE_DEMONSTRADA (epsilon realizado corretamente),PROVADO,"match = nextstate==1||==0 (:138,:149) — estados 0 e 1 aceitantes = ge* (d|vazio); sonda discriminante p6: typo em epsilon muda a aceitacao (so estado 1) provando que o artefato congelado depende do epsilon correto","linguagem efetiva = ORDER da regra","tabela exercitada (SKY-a..f)","-","nenhum",-,0.96
BETA-SKY-04,SecretKeySpec(SecretKey)/condition GENERATED_KEY em e1,bindings_clausulas,FEN-SKY-condicao-extra,FAIL,INCORRETA (gate extra-oraculo suprime ENSURES incondicional),PROVADO,"regra SEM REQUIRES; ENSURES preparedKeyMaterial[keyMaterial] after ge INCONDICIONAL; artefato condiciona a validate(GENERATED_KEY,key) (:129); drive SKY-b: chave legal sem marca -> 0 eventos, 0 erros, RANDOMIZED negado ao material","leitores de RANDOMIZED (SecretKeySpecSpec c1, PBEKeySpecSpec err2/err3) acusarao material legitimo — cadeia de FP realizavel","procurado REQUIRES na regra api30: ausente; procurada ancora gh101 do gate: edges:64 nao registra a condicao","vies do oraculo cru registrado; a direcao aqui e suprimir o que a regra garante","FN local + FP downstream realizavel",critica,0.94
BETA-SKY-05,SecretKeySpec(SecretKey)/violacao de ORDER invisivel,diagnostico,FEN-SET-escritas-sem-estado,FAIL,INCORRETA (sem canal de erro; corpo escreve em estado morto),PROVADO,"sem categoria/handler fail no artefato; drive SKY-d: ge apos destroy -> estado 2 sem NENHUM erro; SKY-e: 2o destroy silencioso; SKY-d2: corpo ainda grava RANDOMIZED no estado morto (corpo executa antes da transicao)","violacoes do ORDER da regra sao invisiveis e ainda concedem predicado","procurado handler fail no .mop (@fail ausente por design) e no artefato: inexistente","o .mop nao pediu @fail — defeito de traducao, nao do gerador","FN de diagnostico + concessao indevida de predicado",major,0.95
BETA-SKY-06,SecretKeySpec(SecretKey)/NEGATES generatedKey after d,predicados_composicao,,PASS,FIDELIDADE_DEMONSTRADA (negacao por objeto; cruza specs),PROVADO,"d remove GENERATED_KEY (:145); drive SKY-c (remocao), SKY-f (independencia por objeto), SKY-g3 (remove marca concedida pelo SKS do batch A sobre o MESMO objeto)","aresta NEGATES viva e correta no plano JVM","procurado descompasso de aridade remove/escritores (todos 1 slot): inexistente","em producao Android a aresta e inerte por BETA-SKY-02","nenhum no plano JVM",-,0.95
BETA-SKY-07,SecretKeySpec x SecretKeySpecSpec/colisao e double-fire,toolchain_android,,PASS,FIDELIDADE_DEMONSTRADA (sem colisao; sem double-fire),PROVADO,"merge de 23: familias SecretKeySpecMonitor*/SecretKeySpecSpecMonitor* coexistem com import javax.crypto.spec.SecretKeySpec (MultiSpec_1RuntimeMonitor.java:38,2478,2525,7892,8027); javac exit 0 (57 classes); weave multi: sks_ctor2 recebe SO SecretKeySpecSpec_c1/c3; drive SKY-g: mesmo objeto flui pelos 2 monitores sem erro espurio","checagem explicita da rodada fechada nas tres frentes (nome, weave, runtime)","procurada classe gerada com nome exatamente SecretKeySpec: inexistente; procurado join point compartilhado: inexistente","-","nenhum",-,0.97
BETA-PBK-01,PBEKeySpecSpec/geracao-orcamento,toolchain_android,,PASS,FIDELIDADE_DEMONSTRADA (medicao da cadeia),MEDIDO,"0,43s/87,2MB + 0,97s/91,2MB exit 0; 7 eventos <=17 (maior do lote); coenable fail=889=7x(2^7-1) saturado, custo trivial (14ms); byte-identico (4/4)","geracao limpa mesmo no maior alfabeto do lote","stderr; regeneracao","nenhuma","nenhum",-,0.98
BETA-PBK-02,PBEKeySpecSpec/pointcuts (3 ctors + clearPassword),captura_eventos,,PASS,FIDELIDADE_DEMONSTRADA (exaustivo na API 30),MEDIDO,"API 30 tem exatamente 3 ctors (javap extraido); weave: ctor1->f1 INLINE, ctor3->f2 INLINE, ctor4->c1+err1+err2+err3 INLINE (4 monitorCalls, ordem do descriptor), clearPassword WRAPPED; getters livres","Esperado subset Capturado; overloads exaustivos; vizinhos livres","mesa de vizinhos (getPassword/getSalt)","weave+device pendentes","nenhum",-,0.96
BETA-PBK-03,PBEKeySpecSpec/ORDER e indexacao por objeto,linguagem_formal,,PASS,FIDELIDADE_DEMONSTRADA (artefato fiel ao .mop; por objeto),PROVADO,"tabelas :206-212; MapOfMonitor por s (:491); walks PBK-a..f executados; guards de err sobrepostos disparam juntos (PBK-c: 3 erros de uma construcao)","linguagem efetiva = ere do .mop; todos os eventos ligam s","tabelas exercitadas; independencia entre objetos (PBK-g)","divergencias vs regra nos claims 04/06","nenhum na tabela",-,0.96
BETA-PBK-04,PBEKeySpecSpec/RANDOMIZED(password) extra-oraculo,bindings_clausulas,FEN-PBK-password-extra,FAIL,INCORRETA (constraint extra-oraculo sem ancora; FP no caso de uso canonico),PROVADO,"regra REQUIRES so randomized[salt] (PBEKeySpec.cryptsl:38-41); constraint de password e neverTypeOf(password,String) (:35); artefato exige RANDOMIZED(password) (c1 cond .mop:43 + err2 .mop:61); drive PBK-b: senha digitada + salt aleatorio + iter=10000 -> UnsatisfiedConstraint e SPECCED_KEY negado","o caso de uso central de PBE (senha do usuario) e acusado pelo oraculo cru","procurada ancora gh101: conformance_record.csv:16 so cobre iteracao/keylength; edges:54 so salt; RandomStringPassword.mop propaga taint mas nao cobre senha digitada","neverTypeOf nao e verificavel em runtime — mas o surrogate escolhido acusa na direcao oposta","FP critico realizavel",critica,0.94
BETA-PBK-05,PBEKeySpecSpec/mensagem do err1,diagnostico,FEN-SET-mensagem-fator10,FAIL,INCORRETA (mensagem contradiz o limiar por fator 10),OBSERVADO_EM_ARTEFATO,"condition iterationCount>=10000 (.mop:42,53) mas mensagem diz 'third argument should be >= 1000' (.mop:55; artefato :306 regiao); mesmo fenomeno do PBE do batch A","diagnostico atribuivel porem enganoso","conferido em .mop/.rvm/artefato (mesmo texto)","-","orienta correcao errada; sem FP/FN",minor,0.98
BETA-PBK-06,PBEKeySpecSpec/cP apos ctor nao-conforme,diagnostico,,FAIL,INCORRETA (acusacao de sequencia espuria empilhada; FORBIDDEN=>c1 ignorado),PROVADO,"conditions tiram a transicao do c1 violador (fica em 0); c2 de 0->3 @fail (tabela :212); drive PBK-c2: clearPassword apos ctor violador soma InvalidSequenceOfMethodCalls a acusacao especifica; PBK-d2: idem para objeto de ctor FORBIDDEN, onde a leitura de substituicao f=>c1 do CrySL aceitaria f1,cP","o app recebe 2 acusacoes de naturezas distintas por 1 defeito; ORDER do CrySL e sobre eventos ocorridos, nao sobre eventos conformes","procurada transicao de c1/f1 violadores que preserve a ordem: inexistente por design do .mop","interpretacao do => no FORBIDDEN e de Alfa; aqui registro o efeito executavel","FP de diagnostico (dupla acusacao) realizavel",major,0.9
BETA-PBK-07,PBEKeySpecSpec/ENSURES+NEGATES speccedKey,predicados_composicao,,PASS,FIDELIDADE_DEMONSTRADA (arestas executadas; 2o slot e write-no-read registrados),PROVADO,"c1 grava SPECCED_KEY e c2 remove (drive PBK-a/a2); slot keylength de speccedKey[this,keylength] descartado (convencao 1-slot do conjunto — familia FEN-SET-GENERATEDKEY-2A-CASA); write-no-read registrado (predicate_omissions.csv:10)","escrita e negacao fieis no plano do objeto; segundo slot perdido como no resto do conjunto","grep de validate(SPECCED_KEY nos 23 .mop: nenhum leitor","-","nenhum FP/FN novo",minor,0.93
BETA-PBK-08,PBEKeySpecSpec/FORBIDDEN via f1/f2,bindings_clausulas,,PASS,DIVERGENCIA_EQUIVALENTE_COMPROVADA (FORBIDDEN detectado por evento com corpo),PROVADO,"f1/f2 emitem erro no corpo e ficam no estado 0 (tabelas :206-207); drive PBK-d/f: ctors proibidos reportados exatamente 1x cada; ErrorType usado e InvalidSequenceOfMethodCalls (atribuicao de tipo e da alcada de Gama)","os dois ctors FORBIDDEN da regra sao detectados","procurado ctor proibido sem evento: nenhum (3 ctors da API cobertos)","tipo de erro semanticamente questionavel para FORBIDDEN","nenhum FN; rotulo do erro impreciso",minor,0.92
BETA-SET-01,conjunto/determinismo e reproducao,reprodutibilidade,,PASS,FIDELIDADE_DEMONSTRADA,MEDIDO,"regeneracao independente: 20/20 byte-identicos ao manifesto; merge de 23: os 5 .rvm byte-identicos aos per-spec e tabelas/indexacao identicas no MultiSpec; drive 3 reps sha256 identico; weave probe estavel entre per-spec e merge","cadeia deterministica; nota REF-11: determinismo nao e replicacao independente","hash-compare integral","-","nenhum",-,0.98
BETA-SET-02,WrapperEmitter/so o 1o call() da disjuncao,toolchain_android,FEN-SET-firstcall-disjunct,FAIL,INCORRETA (defeito de toolchain: evento multi-overload parcialmente inerte),MEDIDO,"findFirstCall retorna o primeiro CallPC da arvore (WrapperEmitter.java:507-524); consequencia medida em CIS (read([B)) e COS (write([B)); o proprio comentario do codigo assume 'one call(...) per advice in practice'","qualquer spec com ||-pointcut perde os disjuntos seguintes no caminho dexlib2, sem erro e sem log alem de um contador","procurada expansao dos demais disjuntos na saida do emitter: inexistente","corrigivel no emitter; ajc nao sofre do defeito","FN silencioso sistemico",critica,0.96
