id,spec_clausula,dimensao,fenomeno_id,posicao,classificacao,tipo,evidencia_primaria,resultado,contraevidencia_procurada,ameaca_validade,impacto_fp_fn,severidade,confianca
GAMA-CIS-01,"CipherInputStreamSpec/spec sem parametro => monitor global unico de processo",bindings_clausulas,FEN-CIS-MONITOR-GLOBAL,FAIL,INCORRETA,PROVADO,"mop:11 'CipherInputStreamSpec()' sem parametro; artefato RuntimeMonitor.java:275 (unico 'CipherInputStreamSpec__Map = new CipherInputStreamSpecMonitor()' estatico, sem indexing tree); transitions c1={3,4,4,4,4} r1/r2={4,1,4,1,4} cl1={4,2,4,4,4}; harness gama_GamaBatchBDrive.java cenario cis, saida gama_harness_output.txt","EXECUTADO: segundo ciclo de vida conforme (construct,read,close, cipher marcado) gera 3 InvalidSequenceOfMethodCalls falsos (locs :96,:97,:98) — o automato global fecha em estado 2 e todo evento do proximo stream falha; apos cada fail+__RESET o proximo evento legitimo falha de novo (cascata pos-__RESET executada); ciclos alternam acusado/limpo; interleaving de 2 streams tambem falha","procurado indexing tree por objeto no artefato: inexistente; regra CrySL prende ciclo de vida ao stream individual (SPEC javax.crypto.CipherInputStream) — nenhuma leitura da regra sustenta monitor global","harness chama os metodos estaticos de evento como o advice gerado faz; weaving real nao executado (G10-CIS-1: micro-APK com 2 streams ajc+dexlib2)","FP demonstrado em trace realizavel (qualquer app com >=2 CipherInputStream por processo); tambem FN (violacao de um stream mascarada pelo estado de outro)",critica,0.95
GAMA-CIS-02,"CipherInputStreamSpec/@fail 3-args => expecting=unknown no unico canal de sequencia",diagnostico,FEN-SET-UNKNOWN-EXPECTING,FAIL,INCORRETA,PROVADO,"mop:39 ErrorDescription 3-args; ErrorDescription.java:34-36 (4o arg default 'unknown'); harness cis: 3 registros 'expecting=unknown'","canal @fail e alcancavel e vivo (diferente do batch A onde era codigo morto): todo InvalidSeq desta spec entra no dataset como message=unknown — gate G9 'nenhum unknown' violado em canal alcancavel","procurada mensagem no handler: inexistente por construcao do 3-args","nenhuma execucao adicional necessaria","atribuicao de sequencia impossivel sem replay (sem evento/estado/prefixo)",major,0.95
GAMA-CIS-03,"CipherInputStreamSpec/registro gh101 do monitor global e da divergencia de alfabeto",reprodutibilidade,FEN-CIS-MONITOR-GLOBAL,FAIL,OMITIDA,OBSERVADO_EM_ARTEFATO,"busca 'parameterless|global monitor|no parameter|empty parameter' em data/gh101/*.csv e *.md: zero hits para CIS/COS; divergence_record.csv linha CIS (6bf44a28d132) cobre apenas o REQUIRES generatedCipher","spec sem parametro (defeito de binding que o proprio gh101 nomeia em PBK f1/f2 como 'empty parameter slice') sem registro para CIS; a regra c1 1-arg ausente do alfabeto tambem sem registro","procurado em divergence_record.csv, conformance_record.csv, frozen_set_debt.md, README.md de data/gh101: inexistente","registro pode existir fora de data/gh101 (nao encontrado nos caminhos declarados pela change)","indireto: divergencia semanticamente relevante sem classificacao",major,0.9
GAMA-CIS-04,"CipherInputStreamSpec/CONSTRAINTS len > off da regra",bindings_clausulas,FEN-CIS-CONSTRAINT-OMITIDA,FAIL,OMITIDA,OBSERVADO_EM_ARTEFATO,"CipherInputStream.cryptsl:39-41 (CONSTRAINTS len > off); mop r2 (mop:30-32) liga arr/offset/len e corpo vazio; artefato Prop_1_event_r2 corpo vazio","a unica CONSTRAINT da regra nao tem contraparte em condition/corpo algum; read(b,off,len) com len<=off transita normalmente (estado de leitura) sem report","procurada a constraint em todos os eventos/condicoes do .mop e no artefato: inexistente; procurado registro na tabela 4.11 do README gh101 (lista Cipher/KMF/KeyStore/PBEKeySpec, nao CIS/COS) e em divergence_record: inexistente","a constraint da regra e ela mesma suspeita (len>off nao e a pre-condicao real da API; vies do oraculo registrado, nao corrigido)","FN da clausula (violacao de constraint jamais reportada)",major,0.85
GAMA-CIS-05,"CipherInputStreamSpec/REQUIRES generatedCipher[ciph] lido no corpo do c1",diagnostico,FEN-SET-LAYER2-REPARO,PASS,FIDELIDADE_DEMONSTRADA,PROVADO,"mop:22-25; artefato :169-180 (report no corpo, transicao 0->3 normal); harness cis(a): 1 UnsatisfiedConstraint com mensagem literal, zero InvalidSeq acompanhante; CipherSpec.mop:161,188,207 escreve GENERATED_CIPHER (writer existe)","EXECUTADO: cipher nao marcado => exatamente 1 registro especifico, sozinho, no sitio do construtor; identidade (ExecutionContext IdentityHashMap) coincide com o objeto cipher do advice","procurado fail espurio junto ao report do c1: inexistente (c1 transita para estado valido)","escritor GENERATED_CIPHER fica sob condition no CipherSpec: cipher inicializado com chave nao monitorada nao e marcado — acusacao no sitio do stream e deslocada do defeito real (nota, nao refutacao)","reduz FP espurio; acusacao correta e atribuivel",minor,0.95
GAMA-CIS-06,"CipherInputStreamSpec/evento c1 da regra (construtor 1-arg protected)",captura_eventos,FEN-CIS-CTOR-1ARG,INCONCLUSIVE,INCONCLUSIVA,MEDIDO,"bytes extraidos do android-30 congelado (sha 96ccfdc8...): 'protected javax.crypto.CipherInputStream(java.io.InputStream)' (javap sobre classe extraida, nao -classpath); regra declara c1: CipherInputStream(is) no agregado Constructs","construtor 1-arg so invocavel via super() de subclasse; pointcut call() nao observa super(); reads/close da subclasse CASAM (call em tipo estatico subtipo) => stream 1-arg dessincroniza o monitor global a partir do estado 0","procurado evento 1-arg no .mop e no artefato: inexistente; visibilidade medida no jar congelado","realizabilidade do fluxo subclasse em apps reais nao medida; interacao com FEN-CIS-MONITOR-GLOBAL domina o efeito","FP potencial (reads sem c1 => fail) e FN do proprio c1",minor,0.8
GAMA-COS-01,"CipherOutputStreamSpec/spec sem parametro => monitor global unico de processo",bindings_clausulas,FEN-COS-MONITOR-GLOBAL,FAIL,INCORRETA,PROVADO,"mop:11 'CipherOutputStreamSpec()'; artefato com unico monitor estatico (mesma forma de CIS); transitions c1={2,4,4,4,4} w1/w2/fl={4,1,1,4,4} cl={4,3,4,4,4}; identidade estrutural com CIS provada nas tabelas; cenario cos executado","segundo ciclo de vida conforme sofre a mesma cascata de InvalidSeq falsos que CIS (mesma forma de tabela: estado terminal 3, c1 de 3 -> 4); mecanismo executado em CIS e valido por identidade estrutural","procurado indexing tree por objeto: inexistente","cascata de 2o ciclo nao re-executada para COS especificamente (identidade estrutural das tabelas e a evidencia)","FP realizavel em qualquer app com >=2 CipherOutputStream por processo",critica,0.9
GAMA-COS-02,"CipherOutputStreamSpec/flush no alfabeto vs regra sem evento flush",linguagem_formal,FEN-COS-FLUSH-ALFABETO,FAIL,INCORRETA,PROVADO,"regra ORDER 'Constructs, Writes+, c' com Writes=w1|w2|w3 (sem flush); mop ere 'c1 (w1|w2|fl)+ cl'; harness cos: construct+write+close = 0 erros, depois flush-after-close => +1 InvalidSeq (loc :119)","EXECUTADO: flush apos close — trace que a regra nem observa (alfa deve apagar flush) — vira InvalidSequenceOfMethodCalls falso; e c1 fl+ cl (flush sem write) e ACEITO pelo mop e rejeitado pela regra (Writes+ >= 1 write) => FN; dupla inclusao violada nas duas direcoes","verificado que flush nao aparece em EVENTS da regra; verificado fl no ere e na tabela do artefato","realizabilidade fim-a-fim do flush-after-close sem excecao depende do stream subjacente (BAOS tolera; outros podem lancar IOException — after() dispara mesmo assim)","FP (flush-after-close) e FN (flush-only aceito) demonstraveis",critica,0.9
GAMA-COS-03,"CipherOutputStreamSpec/@fail 3-args => expecting=unknown",diagnostico,FEN-SET-UNKNOWN-EXPECTING,FAIL,INCORRETA,PROVADO,"mop:39; ErrorDescription.java:34-36; harness cos: registro 'expecting=unknown'","canal de sequencia vivo emite unknown — G9 violado (mesma forma de GAMA-CIS-02)","idem CIS-02","nenhuma","atribuicao impossivel sem replay",major,0.95
GAMA-COS-04,"CipherOutputStreamSpec/registro gh101 do monitor global e do flush",reprodutibilidade,FEN-COS-MONITOR-GLOBAL,FAIL,OMITIDA,OBSERVADO_EM_ARTEFATO,"divergence_record.csv linha COS (277628de56bb) cobre apenas o REQUIRES generatedCipher; busca por parameterless/global/flush em data/gh101/*: nada","monitor global, divergencia do flush e c1 1-arg ausente: nenhum classificado em registro algum","procurado em todos os CSVs/MDs de data/gh101: inexistente","registro pode existir fora dos caminhos declarados","indireto",major,0.9
