id,spec_clausula,dimensao,fenomeno_id,posicao,classificacao,tipo,evidencia_primaria,resultado,contraevidencia_procurada,ameaca_validade,impacto_fp_fn,severidade,confianca
ALFA-CIS-01,"CIS ORDER Constructs,Reads+,c / monitor indexing",linguagem_formal,FEN-CIS-MONITOR-GLOBAL,FAIL,INCORRETA,formal+executado,"CipherInputStreamSpec.mop:11 (no parameter); RuntimeMonitor:275 static monitor; alfa_drive_output.txt CIS-b: 2nd legal stream -> 3x InvalidSequenceOfMethodCalls (3 reps); alfa_automata_check.py two-instance model","effective automaton is process-global; per-instance language broken; executed FP cascade on every stream after the first","searched a per-object indexing structure in the artifact: none (no MapOfMonitor); searched registers for the parameterless shape: 0 hits","drive calls event methods directly (aspect advice verified 1:1); weave-level G6 pending",FP,critica,0.95
ALFA-CIS-02,CIS c1 body GENERATED_CIPHER check vs api30 rule with no REQUIRES,predicados_composicao,FEN-SET-GENCIPHER-EXTRA,FAIL,INCORRETA,formal+executado,"CipherInputStream.cryptsl (no REQUIRES section); Cipher.cryptsl:187-193 (no generatedCipher in ENSURES); grep generatedCipher over 33 api30 rules = 0; .mop:22-25; alfa_drive_output.txt CIS-c: 1 UnsatisfiedConstraint on oracle-legal ctor","extra-oracle requirement; executed FP vs raw oracle","divergence_record.csv:2 registers the addition but asserts a REQUIRES the api30 rule does not contain; registered != approved (FEN-SKS-WHITELIST precedent); no scope reduction on file","oracle bias: upstream 1.5.2 does contain the clause; recorded per pre_registro par.1, not corrected",FP,critica,0.9
ALFA-CIS-03,CIS rule event c1 (1-arg protected ctor),captura_eventos,FEN-CIS-CTOR1-OMITIDA,FAIL,OMITIDA,formal,"alfa_api30_members_output.txt: protected CipherInputStream(InputStream) present in android-30; spec has no event; product witness [ctor2_marked,ctor1_subclass] + FP continuation in alfa_automata_output.txt","subclass-constructed stream invisible; its reads then spuriously fail on the global monitor","searched registers/change tree for 1-arg/protected: 0 hits","realizable only via user subclass calling super(is); frequency unknown",FN+FP,major,0.85
ALFA-CIS-04,CIS CONSTRAINTS len > off,bindings_clausulas,FEN-CIS-LENOFF,FAIL,OMITIDA,formal,"CipherInputStream.cryptsl:39-41; .mop:30-32 binds arr/offset/len with empty body; named witness [ctor2_marked,read3_lenLEoff] silent in alfa_automata_output.txt","constraint not transcribed at any event: FN on violating read","searched data/gh101/*.csv and openspec/changes/gh101-jca-spec-conformance/ for 'len > off': 0 hits","raw constraint is itself anomalous vs the real JDK envelope contract; oracle enters raw (bias recorded)",FN,major,0.9
ALFA-CIS-05,"CIS ENSURES cipheredInputStream[is,ciph]",predicados_composicao,FEN-CIS-ENSURES-SEM-CONSTANTE,PASS,LIMITACAO_INEVITAVEL_DOCUMENTADA,leitura,"predicate_omissions.csv:19 (predicate-no-constant registered); grep over api30 rules: no consumer anywhere","write deliberately omitted and registered; no reader exists in the oracle","checked Property.java: no CIPHERED_* constant (grep)","pair [is,ciph] would also not fit the unary ExecutionContext store if ever added",nenhum,minor,0.9
ALFA-CIS-06,CIS @fail diagnostics,diagnostico,FEN-SET-FAIL-UNKNOWN,FAIL,INCORRETA,executado,".mop:39 2-arg ErrorDescription; alfa_drive_output.txt: every CIS fail record carries expecting=unknown","only sequencing channel of the spec emits unknown; G9 criterion 'nenhum unknown' fails","none: 2-arg ctor delegates with 'unknown' (ErrorDescription.java:34-36, batch A verified)","driver context lacks woven class info; the unknown expecting field is code-determined, not context-determined",diagnostico,major,0.95
ALFA-CIS-07,CIS end-of-trace (never-closed stream),linguagem_formal,FEN-SET-EOT,FAIL,OMITIDA,formal,"alfa_automata_output.txt CIS end-of-trace: ref states {0,1,2} non-accepting reachable and silent","CrySL incomplete operation unreported; no end-of-trace channel","searched registers for incomplete-operation handling: 0 hits","limitation may be inherent to the runtime approach but is undocumented; classification per modelo_semantico par.7",FN,minor,0.8
ALFA-CIS-08,CIS event fusions and bindings (r1;r2;cl1),bindings_clausulas,,PASS,FIDELIDADE_DEMONSTRADA,formal,"aspect pointcuts r1=read()||read(byte[]) disjoint from r2 3-arg; no rule clause distinguishes r1O/r2O; bindings by position verified in aspect","fusion preserves language modulo alpha and binding profile","looked for a clause depending on b of r2O: none in the rule","capture side (matcher vs android.jar) is Beta's lane",nenhum,minor,0.85
ALFA-COS-01,"COS ORDER Constructs,Writes+,c / monitor indexing",linguagem_formal,FEN-COS-MONITOR-GLOBAL,FAIL,INCORRETA,formal+executado,"CipherOutputStreamSpec.mop:11; RuntimeMonitor:309 static monitor; alfa_drive_output.txt COS-b: 2nd legal stream 3x spurious + flush-after-close","process-global monitor; executed FP cascade","same searches as CIS-01: 0 hits","same as CIS-01",FP,critica,0.95
ALFA-COS-02,COS event fl (flush) inside (w1|w2|fl)+ vs rule alphabet without flush,linguagem_formal,FEN-COS-FLUSH,FAIL,INCORRETA,formal+executado,"COS table fl={4,1,1,4,4}; alfa_drive_output.txt COS-a [ctor,flush,close]=0 errors on oracle violation (FN executed); COS-b flush-after-close -> spurious fail (FP executed); named walks in alfa_automata_output.txt","an event outside the rule alphabet both satisfies Writes+ (FN) and fails after close (FP): both inclusions fail under alpha(flush->epsilon)","searched registers for flush: 0 hits","flush-after-close realizability in real streams (IOException possible) - the FN direction needs no such corner",FP+FN,critica,0.95
