class,method,parameters,signature
java.security.KeyPair,getPrivate,"()","public PrivateKey KeyPair.getPrivate()"
java.security.KeyPair,getPublic,"()","public PublicKey KeyPair.getPublic()"
java.security.KeyPair,new,"(java.security.PublicKey,java.security.PrivateKey)","public KeyPair.new(PublicKey, PrivateKey)"
javax.crypto.CipherInputStream,close,"()","public void CipherInputStream.close()"
javax.crypto.CipherInputStream,new,"(java.io.InputStream,javax.crypto.Cipher)","public CipherInputStream.new(InputStream, Cipher)"
javax.crypto.CipherInputStream,read,"(byte[])","public int CipherInputStream.read(byte[])"
javax.crypto.CipherInputStream,read,"(byte[],int,int)","public int CipherInputStream.read(byte[], int, int)"
javax.crypto.CipherInputStream,read,"()","public int CipherInputStream.read()"
javax.crypto.CipherOutputStream,close,"()","public void CipherOutputStream.close()"
javax.crypto.CipherOutputStream,flush,"()","public void CipherOutputStream.flush()"
javax.crypto.CipherOutputStream,new,"(java.io.OutputStream,javax.crypto.Cipher)","public CipherOutputStream.new(OutputStream, Cipher)"
javax.crypto.CipherOutputStream,write,"(byte[])","public void CipherOutputStream.write(byte[])"
javax.crypto.CipherOutputStream,write,"(int)","public void CipherOutputStream.write(int)"
javax.crypto.CipherOutputStream,write,"(byte[],int,int)","public void CipherOutputStream.write(byte[], int, int)"
javax.crypto.SecretKey,destroy,"()","public void SecretKey.destroy()"
javax.crypto.SecretKey,getEncoded,"()","public byte[] SecretKey.getEncoded()"
javax.crypto.spec.PBEKeySpec,clearPassword,"()","public void PBEKeySpec.clearPassword()"
javax.crypto.spec.PBEKeySpec,new,"(char[])","public PBEKeySpec.new(char[])"
javax.crypto.spec.PBEKeySpec,new,"(char[],byte[],int)","public PBEKeySpec.new(char[], byte[], int)"
javax.crypto.spec.PBEKeySpec,new,"(char[],byte[],int,int)","public PBEKeySpec.new(char[], byte[], int, int)"
